Comments,Negative,Cleaning Ability,Usability,Battery or Charge,Reliability,Noise
"The handheld piece is heavy and it moves back and forth in your hand as you clean. The bone at the base of my thumb got a small friction abrasion the first time I used it, and I have to be careful not to let that happen again each time I use the thing.",1,0,1,0,0,0
"If you try to push on it, it feels like you will brake it, because the heavy part is on the top, and the light on the bottom. The container is very small and just gives you the illusion that it collects a lots of trash. ",1,0,1,0,0,0
"Yes, slightly heavier than the V8, and the balance was different,",1,0,1,0,0,0
 It’s very top heavy since that’s where the battery & filter are which means it can’t stand up on its own without falling over.,1,0,1,0,0,0
"The one minor downside is the  weight of the main component, which holds the battery and where you grip the cleaner. It is a bit on the hefty side.",1,0,1,0,0,0
Too heavy.,1,0,1,0,0,0
Too heavy and hard to push around the house. ,1,0,1,0,0,0
" plus it is very bulky, top-heavy, has small turn radius",1,0,1,0,0,0
The new design is top heavy and not balanced like older model.,1,0,1,0,0,0
" Also, I don't like having to hold down the power trigger button the whole time when vacuuming.  I don't see how an older person could use this vacuum since it is also a little heavy with the battery attached.",1,0,1,0,0,0
Super heavy fir an average size woman to use.. I’m sorry I bought this because it’s too top heavy. I’ve hurt my shoulders and back using it,1,0,1,0,0,0
Heavy on wrist. the critical part of this vacuum that made me return it is that it’s exceptionally heavy on the wrist and forearm. I used it like twice and I gave up. My wrist hurts so bad that to me $700 not worth that will give me medical bills.,1,0,1,0,0,0
"You have to hold a trigger to keep it working, which is a downer because I have arthritis",1,0,1,0,0,0
The weight of the motor would be fine but trying to grip the trigger and support the vacuum itself can become a bit much for longer periods of time.,1,0,1,0,0,0
"It is a light weight cordless vacuum that has most of it's weight located where you hold it.  This makes it seem much heavier than it actually is.  If they put the motor and battery down by the brush head or at the bottom of the stick, it would seem much lighter with the floor supporting most of the weight.",1,0,1,0,0,0
  A little too heavy for long periods of times or get weird angles,1,0,1,0,0,0
Heavy Weight. Too heavy. Not as light in weight as they advertise it to be. Will probably not recommend it to those who are not used to lifting heavy weights.,1,0,1,0,0,0
"the vacuum is so heavy I haven’t found a screw and wall that holds it very long,",1,0,1,0,0,0
Very light. Very light,1,0,1,0,0,0
It is still heavy. No power on button is available,1,0,1,0,0,0
better if button not constantly needed presssing.,1,0,1,0,0,0
i just hope u dont always need to press the button,1,0,1,0,0,0
Dyson. Too heavy to use around the house.,1,0,1,0,0,0
"This unit is very lightweight, most of the weight is at the top where the motor is located and after vacuuming the whole upstairs, I did have some soreness in my hand, that’s the one and only issue I noticed.",1,0,1,0,0,0
Very top heavy and not easy to move around.. Very top heavy and cleaning of dispenser not as easy as it is described in the description of this product.,1,0,1,0,0,0
"Besides being top heavy,",1,0,1,0,0,0
And the whole thing is heavy.,1,0,1,0,0,0
"i sent it back. vac worked well, it was to top heavy",1,0,1,0,0,0
"The vacuum itself cannot support its own weight and refuses to stand upright. Because of this, I have to lean it against a wall",1,0,1,0,0,0
"This vacuum is a bit too heavy. The top section, where the motor and battery are, weighs 4 lbs. 8 oz. That’s quite a bit of weight on top. After a few minutes, you’ll find yourself needing to use two hands to move the vacuum around. The other drawback to having so much weight on top is that it throws the balance off. People are used to the weight on the bottom nozzle where the suction happens and when it’s the opposite it introduces usability issues such as having to make sure you keep the floor nozzle grounded as you’re prone to lifting it up due to the unnatural weight distribution.",1,0,1,0,0,0
"Although it feels lighter overall than my Dyson, the motor and handle are awkwardly weighted and balanced, while the stick and brush head are much lighter weight... Because  of this, it is awkward to maneuver and gets uncomfortable after just a few minutes.",1,0,1,0,0,0
"The competitor was fairly well balanced, not terribly heavy, and seemed to work better over all.",1,0,1,0,0,0
too top heavy. it’s top heavy and makes your arm ache. it doesn’t stand up on its ow,1,0,1,0,0,0
 Can’t reach far enough under the bed because the top part hits the bed frame,1,0,1,0,0,0
Top heavy. I was excited to get this vacuum but as soon I I started to use it the top was so heavy it cause the bottom part to come up . After just a little bit my neck was hurting. ,1,0,1,0,0,0
"It's also very top heavy, just running it for 5 minutes and my arm was burning",1,0,1,0,0,0
"Difficult to use, weak suction, top heavy.. I had no problems assembling the vacuum but I have arthritis in my hands and it was difficult for me to use because the balance is off with so much of the weight at the top and maneuvering it was very awkward.  I lost my grip on it several times and it tipped over and the head hit the floor.",1,1,1,0,0,0
"But it's awkward. All the weight is in the handle, which leaves your forearm tired and sore after use. So, while it is indeed maneuverable, it's going to leave you sore from doing it.",1,0,1,0,0,0
"Because all the weight is on the top, it can't be stored standing up like the older two-in-ones. ",1,0,1,0,0,0
 The suction is not the problem. It is so top heavy. Hoover did  horrible job of designing this,1,0,1,0,0,0
I find it a little top heavy since the battery power and dirt holder is on top of device making it a little hardfor me to push.,1,0,1,0,0,0
the handle is a little on the heavy side,1,0,1,0,0,0
 It is heavy and awkward to handle to empty the dust cup as you have to find a place to lean it or put it in the floor. ,1,0,1,0,0,0
"Takes a little practice to get use to the heavy handle.  When stop you vacuuming, it has to be laid down on the floor because it’s top heavy and can’t stand on its own or lean up against anything stationary. ",1,0,1,0,0,0
it is top heavy so it cannot strand up.,1,0,1,0,0,0
Heavy and awkward.. Once the battery is in place the vacuum is heavy and awkward to manage.,1,0,1,0,0,0
"While the good looking, moderately heavy",1,0,1,0,0,0
"The problem with just keeping it there all the time is that it makes the top heavy, so it won’t stand and it’s harder to maneuver because all of the weight is on top.",1,0,1,0,0,0
Others are great but too heavy for regular use (which means you dread vacuuming or avoid it),1,0,1,0,0,0
"Triflex HX1 but also assumed it might be on the heavy side.It is, indeed, heavy but at first take that just speaks to the quality of the build.",1,0,1,0,0,0
Very heavy for stick vaccumes,1,0,1,0,0,0
Second problem is it’s heavy weight.  For a stick vacuum it is very heavy to use,1,0,1,0,0,0
Roller bar is inconsistent and  the machine heavy for middle aged hands. ,1,0,1,0,0,0
" I found that if it is placed in the top position, it is too heavy. ",1,0,1,0,0,0
The weight was heavier than average,1,0,1,0,0,0
 It is unusually heavy.,1,0,1,0,0,0
"It is too heavy, with too small a dirt chamber to be used as your primary vacuum, even in a small space.",1,0,1,0,0,0
 and the battery is too heavy to use comfortably as a hand held,1,0,1,0,0,0
"it is quite heavy, dust container a bit tricky detaching, and emptying i seem to have dig out fluff",1,0,1,0,0,0
"This vacuum is heavy.. It works well, but is awkward and heavy.",1,0,1,0,0,0
 Very hard to use as a hand held as it is heavy and even more difficult to open the canister to empty,1,0,1,0,0,0
"It’s heavy, doesn’t maneuver like other cordless vacuums in the market at this price point",1,0,1,0,0,0
It’s heavy and feels bulky,1,0,1,0,0,0
the unit itself it quite heavy and bulky. ,1,0,1,0,0,0
The canister is hard to empty and requires you to put your hand in to get the dust out,1,0,1,0,0,0
 it’s heavy and awkward,1,0,1,0,0,0
"On the other hand, the Triflex is heavier than the Outsize (when the motor is connected at the top), which is quite heavy already.",1,0,1,0,0,0
also heavy.,1,0,1,0,0,0
I have to say that when they came out with the V11 torque I did purchase it but it is too heavy on top so I returned it.,1,0,1,0,0,0
t is very top heavy and uncomfortable to hold,1,0,1,0,0,0
Very poorly designed. You can't stand it up.  It's top heavy and it falls down unless you put it in its charging station.  Hard to control when vacuuming. ,1,0,1,0,0,0
"but Lightweight with Good suction,",0,1,1,0,0,0
 but it’s lil heavy but ,1,0,1,0,0,0
"We found it awkward to use, top heavy when on the stick and difficult to maneuver,",1,0,1,0,0,0
"The product is  light weight, but it can be a little awkward ( unbalanced)",1,0,1,0,0,0
Too heavy for a stick vacuum - design flaw???,1,0,1,0,0,0
 I was really surprised as the weight of the model is within the norm.  But I think it is too top heavy - all the heavy stuff like the container for the hair and the motor so you can make it a smaller hand held,1,0,1,0,0,0
So I am stumped about the weight issue but regardless I dislike this vacuum immensely,1,0,1,0,0,0
"terrible design (top heavy and loud). The vacuum works well enough, but it doesn’t come with a wall mount and the motor makes the unit extremely top heavy",1,0,1,0,0,0
but the top-heavy design makes it a real pain,1,0,1,0,0,0
Super heavy!  Who puts the motor at the top ?. My husband likes this vacuum but I despise it - it's super heavy and my hand hurts after a quick 10 minute clean up. ,1,0,1,0,0,0
 Why in the world would any one design something like this with the heavy motor at the top...you're basically vacuuming while holding the motor! ,1,0,1,0,0,0
Very loud and heavy,1,0,1,0,0,0
Poor suction and top heavy..,1,1,1,0,0,0
 It's top heavy having the cannister at the top. Difficult if you have arthritis.,1,0,1,0,0,0
"Very top heavy. Very poor functionality,  heav",1,0,1,0,0,0
it doesn’t hold up properly way too heavy on the top this is not a good cordless vac,1,0,1,0,0,0
Heavy and hurts hand. The vacumn works well but the handle is VERY heavy. I returned it because I'm never going to vacumn if it hurts my arm/hand after every use.,1,0,1,0,0,0
Not for me. Too bulky and heavy,1,0,1,0,0,0
"It is too heavy to use for very long since the motor, battery and dust bin are on the handle.. It is heavy to carry during use. ",1,0,1,0,0,0
 It doesn't stand up without support.,1,0,1,0,0,0
"Perhaps this would be usable in the hand-held settings/set-up for things like furniture, but its not all that lightweight to justify keeping it for that purpose. ",1,0,1,0,0,0
"Also, it is top-weighted, so it does not stand up on its own: you need to store it lying down, or leaning against a wall",1,0,1,0,0,0
 It’s very awkward to use. The motor is in your hand so it’s top heavy. It’s to light at the base so it’s not balanced,1,0,1,0,0,0
Heavy weighted battery on handle. The battery location makes it hard for the stick handle to stand up,1,0,1,0,0,0
 it is a little heavy,1,0,1,0,0,0
The product is top heavy so will not stand on its own. ,1,0,1,0,0,0
I also am very disappointed that it doesn’t have a hook to hang it up with; it is constantly falling over since the top is so heavy.,1,0,1,0,0,0
 The vacuum is top heavy and makes for difficult storage without taking it apart,1,0,1,0,0,0
It's too heavy.,1,0,1,0,0,0
 It is really great for maneuvering around furniture and corners but the weight of the vacuum gets to you after awhile.  Your arms get a great workout for sure.,1,0,1,0,0,0
"Since the vacuum doesn’t have much weight on the bottom, when you walk backwards or pull the vacuum back to you, the head will often pull up off the carpet, losing the suction.",1,1,1,0,0,0
"Using this for 25 minutes, my wrists became tired. This is because the weight is now at the top of the vacuum. This doesn’t normally happen to me when I vacuum",1,0,1,0,0,0
  This vacuum is a little heavier than the other,1,0,1,0,0,0
Top heavy and low suction. Horrible vacuum. Top heavy and low suction,1,1,1,0,0,0
" It is majorly top heavy so you can't stop, prop it up against a wall (will NOT stand on its own)",1,0,1,0,0,0
"It feels too top-heavy to me (that's where the motor is, of course).",1,0,1,0,0,0
" even then, it is so top heavy it collapses loudly to floor.",1,0,1,0,0,0
Off the bat it’s heavy and it does not maneuver that great,1,0,1,0,0,0
To get the bad out of the way; it is pretty heavy. Definitely not as lightweight as I originally anticipated,1,0,1,0,0,0
"but the hand portion that you hold is very heavy, which almost makes it a little weird to control on carpet. It's so top heavy that it's somewhat hard to store.",1,0,1,0,0,0
Cons:Top-heavy,1,0,1,0,0,0
Top heavy and awkward but works great.,1,0,1,0,0,0
"What I don't love:>Very top-heavy, which causes me grief every time I use this vacuum",1,0,1,0,0,0
and it's difficult because of the weight imbalance.,1,0,1,0,0,0
It’s top heavy.,1,0,1,0,0,0
"The con - it’s top heavy , so if u have shoulder pain , arthritis , tennis elbow , this will bother you after you vacuum a room",1,0,1,0,0,0
 I also do lean it against a wall in storage because it is too heavy I don’t want it to fall over.,1,0,1,0,0,0
" I will use this until it quits and my next purchase would be something exactly like this, but nothing top heavy",1,0,1,0,0,0
"It is super top heavy and if you don't fold it to put it away, it will crash to the ground.",1,0,1,0,0,0
will not stand up by itself. ,1,0,1,0,0,0
It is very top heavy and if I need to stop vacuuming and move a chair or the couch I have to either lay the whole thing on the floor or fold it in half. That is difficult for someone who has back issues,1,0,1,0,0,0
"Not ultra lightweight. I was replacing a very lightweight stick vacuum that I used for hard surfaces and decided to get a shark product that I had always used for the rest of my house, but upon arrival I found the vacuum Heavy.  I am a senior citizen and needed something easy to handle.  I am going to keep it because it is efficient, but would not recommend for an easy to use daily clean up vac , especially for seniors.  ",1,0,1,0,0,0
"All that aside, the vacuum is heavy and my arm hurt within a short amount of time",1,0,1,0,0,0
It’s like top is too heavy for the bottom??  Hard to navigate.,1,0,1,0,0,0
What I dislike most about this vacuum is that model is very top heavy and puts a lot of strain on your wrist and hands. This vacuum doesn’t propel forward so you have to use a lot of upper body strength and it puts a lot of strain on your arms and shoulders,1,0,1,0,0,0
"The handle it too heavy for starters. If there is a large area to vacuum, it’s just too heavy. ",1,0,1,0,0,0
"Besides all this, the vacuum was very heavy and bulky, and I didn't like it almost immediately after I started using it",1,0,1,0,0,0
"As a cordless vac, I find it too heavy and large compared to my other cordless sticks. It's not convenient to just grab and use for quick touch ups.",1,0,1,0,0,0
but the fact that it is so top heavy with the battery attached that it won't stand on its own makes me crazy,1,0,1,0,0,0
This thing is very unwieldy and heavy for a stick vacuum,1,0,1,0,0,0
"It isn't heavy, but the engineers seem to have been dedicated to positioning the weight in such a way as to maximize discomfort. It feels sluggish and like a chore to roll around",1,0,1,0,0,0
"There were a few downsides... this unit must be propped up or held up, do not leave it standing by itself and unattended, it is too top heavy",1,0,1,0,0,0
Like I avoid it at all costs because the navigator is so heavy,1,0,1,0,0,0
"This vacuum is very heavy and shocks. This vacuum cleaner was very heavy to use with one hand. I thought I had found the perfect cordless  vacuum. But it was so heavy to use with one hand, it hurt my back after only 2 minutes of use.",1,0,1,0,0,0
"This unit is top heavy. This unit lacks suction power, its too top heavy and does not stand up by itself, it needs to be folded every time its stored",1,1,1,0,0,0
 It is heavy for me. I’m elderly n for safety wanted to elongate hazard of tripping on cord,1,0,1,0,0,0
 It’s a little awkward with it being top heavy.,1,0,1,0,0,0
Nice and lightweight. Would prefer  a unit that stands upright,1,0,1,0,0,0
its top heavy. all was good however it was to top heavy,1,0,1,0,0,0
The reason that I am giving 3 stars to it is the weight of it. It is heavy and hard to clean stairs with it.,1,0,1,0,0,0
"It's top heavy, doesn't stand upright by itself",1,0,1,0,0,0
"Besides all this, the vacuum was very heavy and bulky, and I didn't like it almost immediately after I started using it",1,0,1,0,0,0
Too heavy for me!,1,0,1,0,0,0
it was very heavy. All the weight was on my hand and arm because the motor is at the top and I knew I couldn't use it,1,0,1,0,0,0
but it is very heavy.,1,0,1,0,0,0
"Heavy. Suction seems fine for the price, but item too heavy!!!",1,0,1,0,0,0
"It's 'hand-heavy"", by which I mean that all the weight of the product is centered around the (too large) hand-grip. All of the maneuverability of the power-head is focused on the operator's fingers, hands and wrists. if anyone in your household has hand or wrist issues (e.g. arthritis, inflammation) they are going to have problems with this vacuum",1,0,1,0,0,0
but it was heavy and ,1,0,1,0,0,0
it didn't work well: but b/c it was very heavy,1,0,1,0,0,0
"The a11 is very heavy, has clunky connections",1,0,1,0,0,0
"The ""removable handle"" is a bit heavy for me (but I am old)",1,0,1,0,0,0
"I bought for my senior mother...heavy, hard fir her to maneuver...even I found it difficult and top heavy?",1,0,1,0,0,0
 I also think the vacuum is a bit top heavy.,1,0,1,0,0,0
I also wanted something lightweight and easy to use because I am disabled and don't have a lot of energy or strength to spare.,1,0,1,0,0,0
I feel I might have to sacrifice my desire for a cordless vacuum and move on to a corded canister to get the powerful suction I need as well as lightweight ease of use. ,1,0,1,0,0,0
 We found the sweeper to be very top heavy and difficult to use.,1,0,1,0,0,0
"The control section is at the top, it's heavy and awkward.  Trying to maneuver it was hard as the balance was off and holding the control to make it run was also not easy, hurt my hand and was awkward.",1,0,1,0,0,0
I have tendinitis in both arms and really need something lightweight. This vacuum was a disappointment for me.,1,0,1,0,0,0
" The cons of the design is it’s not very balanced. The handle is heavy, the head of the Vacuum pivots nicely but it’s hard to direct it around corners. Stairs are difficult",1,0,1,0,0,0
"Too top heavy for me. Nicely packed and while I’m sure it’s probably a good product, its too top heavy for me. My hand & wrist weren’t comfortable with all the weight at the top.",1,0,1,0,0,0
However you have to mount it on the wall and it’s on the heavy side.It’s as good as a Dyson it’s just the wall and weight issue keeps me from posting 5 stars.,1,0,1,0,0,0
"It's top heavy, hard to maneuver, with the smallest ever capacity for dirt",1,0,1,0,0,0
Handle not ergonomic. Not as light-weight as described. ,1,0,1,0,0,0
"It says it's light weight, it is not. It's the heaviest vacuum I've owned in 5 years. I cannot fathom why you wouldn't build a telescopic handle in a vacuum, this one is not, insane.",1,0,1,0,0,0
top heavy,1,0,1,0,0,0
The unit is top heavy and falls out of charger,1,0,1,0,0,0
"very difficult to set it up, it's heavy,",1,0,1,0,0,0
Very heavy.,1,0,1,0,0,0
it's not designed very well to handle the weight of the extension/brush,1,0,1,0,0,0
not a comfortable vacuum to use. I'm a 75 year old person.  I wanted to like this vacuum because of the Consumer Reports review but it was too awkward for me. The weight was at the top of the handle.  My wrist was fatigued after 10 min and I quickly developed a blister on top of where my thumb meets my hand.,1,0,1,0,0,0
"The A11 Master needs to be better balanced. I find it top heavy, and. as a result, my hand is tired after using it for any length of time.",1,0,1,0,0,0
t was also quite heavy for what it was,1,0,1,0,0,0
" blister on my hand from the handle, too top heavy",1,0,1,0,0,0
the weight is light. I very much dislike that the only way to operate the vacuum is to keep the trigger depressed tightly the whole time.,1,0,1,0,0,0
"Hate the new 'bag at handle' design.  The old design, having the battery, hand vac and motor down near the floor close to the brushes is so much lighter and more ergonomic than the new design, where you're lugging all the weight around up at the handle.",1,0,1,0,0,0
The unit is very heavy and larger than I expected,1,0,1,0,0,0
Too heavy!. I should have listened to what people said about how heavy this was.  It is very top heavy,1,0,1,0,0,0
"Light weight, easy to maneuver and loads of attachments. ",1,0,1,0,0,0
"Regarding weight of unit which a pound lighter than V11 , it is not as balanced in my opinion",1,0,1,0,0,0
 it was heavy.,1,0,1,0,0,0
"Still too heavy.. While weight is relative to others, this is still heavy and the weight is all in front of your hand,",1,0,1,0,0,0
It was also very top heavy.,1,0,1,0,0,0
"Also- as others stated, it won’t stay up on its own.",1,0,1,0,0,0
And the handheld vacuum is HEAVY!,1,0,1,0,0,0
I absolutely HATE this vacuum for one reason: it does not stand on it's own,1,0,1,0,0,0
BUT it will Not stand up. It falls over,1,0,1,0,0,0
It will NOT stand up on its own,1,0,1,0,0,0
" Also, it does not stand up on it's own so when you stop you either have to prop it against something or let it lay flat on the floor",1,0,1,0,0,0
"It doesn't stand on it's own, so if you have to pause, you have to lean it on something and then it slides and falls and hit's items on the way down to crash on the floor.",1,0,1,0,0,0
" This vacuum does not stand up, you have to hold it up or lay it down. ",1,0,1,0,0,0
"it does not stand up on its own, which is aggravating on a whole other level",1,0,1,0,0,0
 I've never seen a full sized vacuum that cannot stand on its own,1,0,1,0,0,0
 but not the facts it doesn’t stand on own. Can’t leave it upright to move something without it falling over.,1,0,1,0,0,0
Doesn't stand on its own. I give it 3 stars because the vacuum doesn't stand on its own,1,0,1,0,0,0
Does not lock to stand. I don't like that the vacuum does not stand up at all. I tend to stop and move things or pick things up and this vacuum does not stand on its own. You have to lay it down.,1,0,1,0,0,0
"Difficult to empty without make a mess on the floor, hands and clothes!",1,0,1,0,0,0
all photos show it in upright position. Vacuum is meant to be hung on a wall so it doesn’t stand on its own. It has to be rested or laid down.,1,0,1,0,0,0
" If you wish to pause in your vacuuming you must lay the machine down flat on the floor or find a secure place to lean the handle of the machine against.  If it falls, it falls on the motor.",1,0,1,0,0,0
the biggest drawbacks are its inability to stand upright on its own (Trade off for the maneuverability?) and its weight for attachment use.,1,0,1,0,0,0
How is it an upright vacuum if it cannot stand upright? The vacuum cannot stand upright on its own. You need to lay it down or lean it against the wall each time. Super annoying.,1,0,1,0,0,0
" But I hate it. It's inconvenient, difficult to change attachments.",1,0,1,0,0,0
Hard to keep trigger pressed on,1,0,1,0,0,0
"I have developed horrible wrist pain from using this vacuum.... to the point that I am wearing a wrist brace!! It is horrible!! I wouldn’t recommend this vacuum for petite or older people, or anyone with joint/ arthritis for this reason. I am a young, healthy petite person and this vacuum is brutal on my wrists.",1,0,1,0,0,0
"However, the location of the primary mechanism (high on the handle) makes it a bit unwieldy/awkward for a senior citizen to utilize easily. Probably ok for those younger.",1,0,1,0,0,0
The vacuum does not stand upright and must be leaned against something or put on the floor.,1,0,1,0,0,0
"BUT every time I empty this thing, I bruise my left thumb from the force it takes to push the lever down. Literally my whole left nail is bruised from the impact force.",1,0,1,0,0,0
"that you will need to hold the trigger down in order for it to work. There is no ""on"" button. In addition to that, on the opposite side of the button is a relatively heavy battery back that makes that unit in your hand heavy to hold and maneuver as you keep the trigger pulled and have to move the vacuum around the room. It's a lot of force and tension on your hand and you will be susceptible to pain in your hand, wrist, forearm, and up the arm.",1,0,1,0,0,0
"Third, you have to engage a trigger the entire time you are using the vacuum. There’s no on/off switch. For those of us with problems with our hands or wrists, simply holding down a trigger the entire time we are vacuuming really hurts.Fourth, the vacuum does not get into corners or up against the walls very well",1,0,1,0,0,0
"  Also, it infuriates me that I can't put this vacuum down, or stand it up, or even lean it without it crashing to the floor.  When vacuuming, there are many times I'm interrupted or have to stop to move something,  whatever.  No way to put it anywhere",1,0,1,0,0,0
"My last complaint - I have small hands, and the handle on the Dyson is a handful! Over time, gripping it gets uncomfortable.",1,0,1,0,0,0
It's very uncomfortable to hold and you need to press the button down with your finger the entire time you are vacuuming,1,0,1,0,0,0
"In emptying the new canister, I incredulously overextended the canister and it tore the unit apart because it has 4 very shallow screws holding that piece together. Literally nobody quality tested this machine if my thumb can do this on one of my first cleans with it",1,0,1,0,0,0
" Why would you need to remove the head and shaft to empty the unit? This is beyond inconvenient,",1,0,1,0,0,0
"You have to press the power button with your thumb the whole time you're using it, which is crazy. It also doesn't stand up by itself. ",1,0,1,0,0,0
" Also, I don't like having to hold down the power trigger button the whole time when vacuuming",1,0,1,0,0,0
Nice vacuum but wand is too short. So far I like everything about this vacuum except the length of the extension wand.,1,0,1,0,0,0
but wish the button didnt have to be pressed while vacuuming.,1,0,1,0,0,0
Canister is too small for pet hair,1,0,1,0,0,0
It's not useful for cleaning under any furniture with low clearance including our couch,1,0,1,0,0,0
You have to hold down the trigger button in order to run this vacuum making this task impossible,1,0,1,0,0,0
 Cons for were it comes with 4 attachments and only holds 2 of them on the wall mount.,1,0,1,0,0,0
 but annoying trigger handle. You have to hold down the trigger the whole time you're vacuuming. It's tiring,1,0,1,0,0,0
when you try to empty the bin it is very hard not like my other ones,1,0,1,0,0,0
"The trigger can be difficult to mess with, maybe future lineups will consider the lock switch to keep the vacuum onn like the competitors",1,0,1,0,0,0
you have to hold down the button the entire time vacuuming therefore making your hand sore,1,0,1,0,0,0
"Another thing we were not to happy about was the fact that when we ran it on any sort of flooring other than hard surfaces, it would get stuck because of the strong suction, but what's the point if I can't move it along a basic short thread hallway runner",1,1,1,0,0,0
"Emptying the very small dirt collection receptacle is extremely cumbersome, if not nearly impossible",1,0,1,0,0,0
but I didnt like how I had to hold the button down the entire time I used it,1,0,1,0,0,0
You have to hold power button in all the while you are vacuuming which gets tiresome,1,0,1,0,0,0
It is still heavy. No power on button is available,1,0,1,0,0,0
"I also don't like that there's no option to keep the trigger pulled. It's really easy to maneuver the vacuum but I hate holding the trigger for an expended period of time, why couldn't there be a switch that kept the trigger ""activated?",1,0,1,0,0,0
Blowback: The design means while you are vacuuming the air exhaust gets blown on your arm (there is no escaping and I have no idea how clean this air exhaust is),1,0,1,0,0,0
The dirt release is a little tricky.,1,0,1,0,0,0
but there is one flaw that makes it a pain (literally) to use. The handle length is too short!! Both my wife's and my hands barely fit onto the handle and it gives us pain/blisters on the base knuckle of our thumb after vacuuming for a couple minutes. ,1,0,1,0,0,0
"It doesn't stand up on its own, which can be a hassle, especially for an older person.",1,0,1,0,0,0
it’s not as easy to maneuver or as light as I expected. My arm literally hurt after trying to vacuum an area rug.,1,0,1,0,0,0
Canister can fill up quickly with pets and carpet,1,0,1,0,0,0
"I'm sure there are engineering reasons for this, but for young children or an adult with a weak grip, this is very uncomfortable",1,0,1,0,0,0
"To recharge the vacuum, you have to remove the battery pack and charge it away from the machine. I don't want my young kids doing this. Our other cordless vac has a charging base and it's simple for them to always park it there when they're finished.",1,0,1,0,0,0
"If you stop vacuuming, you cannot rest the machine in an upright position. It falls over. Even if you lean it on a wall, it's unstable because it's so top heavy",1,0,1,0,0,0
cleaning of dispenser not as easy as it is described in the description of this product.,1,0,1,0,0,0
 bin doesn’t empty easily,1,0,1,0,0,0
Can’t reach far enough under the bed because the top part hits the bed frame,1,0,1,0,0,0
A little awkward  to handle and navigate. Takes a little practice to get use to the heavy handle,1,0,1,0,0,0
"Additionally, the waste cup is way too small",1,0,1,0,0,0
" Also, the waste cup isn’t convenient to empty. It does not detach from the handheld portion, you have to disconnect the handheld from the pole and its awkward trying to empty it ",1,0,1,0,0,0
"Cons: only 2 holders/hanger for the tools, no 3rd holder/hanger or storage bag for power punch noozle.",1,0,1,0,0,0
the canister is way to small and very difficult to clean the fine dirt out.,1,0,1,0,0,0
"Decent on carpet, but it requires some effort to move while vacuuming carpet.",1,0,1,0,0,0
Also unlike the Dyson you don’t have to continue pressing the trigger and order for the vacuum to continue working.,1,0,1,0,0,0
Also worth noting is that the vacuum canister is quite difficult to remove and put back on,1,0,1,0,0,0
The maximum fill line in the dust container is so small that you will be emptying it every few minutes anyway,1,0,1,0,0,0
 The canister is barely big enough to hold the hair you vacuum off the sofa. You definitely need to carry a garbage bag around with you to empty it constantly if you're planning on vacuuming your entire house,1,0,1,0,0,0
"he canister is difficult to empty and reattach. The attachments are difficult to get off an on, and to top it all off",1,0,1,0,0,0
"Emptying the bin is the worst. the bin is not well design for emptying trash. Dust flys all over the place, hair is always tangled in the wheel.",1,0,1,0,0,0
then you spend your time unclogging it just behind the beater bar.  It wouldn’t be so bad but it is hard to reach the spot.  It should come with a tool to reach there,1,0,1,0,0,0
It is difficult to empty and often requires manually digging lint and hair out of the bagless chamber with a pencil or fork.,1,0,1,0,0,0
" It is too heavy, with too small a dirt chamber to be used as your primary vacuum, even in a small space.",1,0,1,0,0,0
